"","fit2.coefficients"
"(Intercept)",-485.295189202773
"state_rev_PP_16_pred",1.17554069927909
"Fiscalyear2003",-1413.49791375172
"Fiscalyear2004",-1334.30137914382
"Fiscalyear2005",-1125.89080996345
"Fiscalyear2006",-877.355752474496
"Fiscalyear2007",-1519.20938011378
"Fiscalyear2008",-1515.78869857137
"Fiscalyear2009",-1556.35797153725
"Fiscalyear2010",-1764.98889034399
"Fiscalyear2011",-1384.39607907055
"Fiscalyear2012",-739.295596204869
"Fiscalyear2014",61.9884651883845
"Fiscalyear2015",2136.46917971085
"Fiscalyear2016",2546.99677939653
